taxon_id	name
871700	Oscivirus A1
31533	Enterobacteria phage RB3
665883	Lactococcus virus CB13
40523	Listeria virus A511
262071	Cd119virus
665884	Lactococcus virus CB14
764595	Wphvirus
359812	Homalodisca coagulata virus-1
38525	Avian metapneumovirus
1923779	Zhejiang mosquito virus 3
1923778	Zhejiang mosquito virus 1
89623	unclassified Hepadnaviridae
1560282	Proteus phage PM 75
1746059	Gamboa mosquito virus
12844	Sweet potato feathery mottle virus
10600	Human papillomavirus type 6b
1256869	Perch perhabdovirus
372457	Streptococcus phage M102
1177632	Salmonella phage SSU5
288456	Bombyx mori Macula-like virus
12357	Spbetavirus
1922899	Hubei leech virus 1
940834	Dyorhopapillomavirus
1922900	Hubei leech virus 2
28311	Human papillomavirus type 63
40540	Human papillomavirus type 60
650131	Equine rhinitis B virus 1
1608134	Wuhan Mosquito Virus 9
1608133	Wuhan Mosquito Virus 8
1391428	Escherichia phage 4MG
499854	New Mapoon virus
1608127	Wuhan Mosquito Virus 2
1608126	Wuhan Mosquito Virus 1
317414	unclassified Tunalikevirus
1198144	Donkey orchid virus A
186458	Bornavirus
575608	Staphylococcus virus IPLA88
1647458	Salmonella phage SEN22
1868596	Pseudomonas phage MD8
1519409	Sewage-associated gemycircularvirus-10a
1074864	Bat picornavirus 2
1074865	Bat picornavirus 3
1074863	Bat picornavirus 1
11079	Murray Valley encephalitis virus
10814	Begomovirus
66711	Escherichia phage AR1
1682187	Varroa Tymo-like virus
1867943	Wolkberg virus
1406134	Murrumbidgee virus
416419	Archaeal BJ1 virus
1923660	Wenzhou sobemo-like virus 4
1906175	Bastrovirus/VietNam/Rat/16715_10
1980519	Crimean-Congo hemorrhagic fever orthonairovirus
12069	Enterovirus C
330399	Listeria phage A006
205872	Che9cvirus
669875	Escherichia phage vB_EcoM_ECO1230-10
1279099	Sclerotinia sclerotiorum mitovirus 3
1190451	Campylobacter virus CP21
1435446	Sclerotinia sclerotiorum mitovirus 6
170965	Trichomonasvirus
267285	Chalara elegans RNA Virus 1
515575	Algerian watermelon mosaic virus
1718171	Mycobacterium phage Pari
1871678	Lactococcus phage 28201
661505	Chilli leaf curl Multan alphasatellite
1611545	Salmonella phage f18SE
1941235	unclassified Genomoviridae
1655658	Microviridae Fen7786_21
1547577	Jatropha leaf crumple virus
196375	Beet black scorch virus
348018	unclassified Orthobunyavirus
328668	Bombyx mori densovirus 3
1922758	Beihai zhaovirus-like virus 2
1742596	Pavonia yellow mosaic virus
1236398	Macaca fascicularis polyomavirus 1
45661	Banana bract mosaic virus
300411	Lindernia anagallis yellow vein virus
1923740	Wuhan insect virus 9
485241	Dyozetapapillomavirus
1173764	Listeria phage LP-048
1379717	Circoviridae 13 LDMD-2013
10854	Inoviridae
1923702	Wuhan heteroptera virus 2
1923703	Wuhan heteroptera virus 3
1468596	Ageratum yellow vein Pakistan alphasatellite
1923701	Wuhan heteroptera virus 1
320842	Staphylococcus virus 96
1204522	Escherichia phage ECML-134
122291	Kappapapillomavirus 1
31553	Kappapapillomavirus 2
1743016	Pseudomonas phage vB_PaeS_PM105
12320	Alfamovirus
208013	Agrotis ipsilon multiple nucleopolyhedrovirus
96054	Tomato leaf curl Philippines virus
1873889	Mycobacterium phage Makemake
1340825	Mycobacterium phage Trouble
1150353	Gentian Kobu-sho-associated virus
367061	Vernonia yellow vein virus
1966007	Bakunsa virus
1558463	Vibrio phage J2
1784982	Pseudomonas phage O4
687341	Torque teno virus 2
1429905	Mycobacterium phage JAMaL
687340	Torque teno virus 1
687345	Torque teno virus 6
687346	Torque teno virus 7
687343	Torque teno virus 4
687347	Torque teno virus 8
1379722	Circoviridae 18 LDMD-2013
1197935	Enterobacteriaphage UAB_Phi87
223342	Tomato golden mottle virus
871700	Oscivirus
1379710	Circoviridae 6 LDMD-2013
103724	Grapevine asteroid mosaic-associated virus
352927	unclassified Crinivirus
1636202	Escherichia phage vB_EcoM_AYO145A
68887	Anelloviridae
329288	Ageratum yellow vein China betasatellite
1922471	Beihai noda-like virus 18
1327939	Mycobacterium phage Murphy
107804	Sorghum chlorotic spot virus
446138	Dyodeltapapillomavirus
10288	Choristoneura biennis entomopoxvirus
11014	Chrysoviridae
1812179	Bovine calicivirus strain Kirklareli
33754	Sapovirus
114430	Ovine adenovirus 7
1340712	Mycobacterium phage Breeniome
223337	Tobacco leaf curl Zimbabwe virus
