#tax_id	genomic_nucleotide_accession.version
40302	NW_020169299.1
40302	NW_020169696.1
40302	NW_020169698.1
40302	NW_020169700.1
40302	NW_020169701.1
40302	NW_020169703.1
40302	NW_020169706.1
40302	NW_020169336.1
40302	NW_020169709.1
40302	NW_020169711.1
40302	NW_020169748.1
40302	NW_020169713.1
40302	NW_020169714.1
40302	NW_020169337.1
40302	NW_020169715.1
40302	NW_020169716.1
40302	NW_020169718.1
40302	NW_020169721.1
40302	NW_020169338.1
40302	NW_020169723.1
40302	NW_020169725.1
40302	NW_020169732.1
40302	NW_020169731.1
40302	NW_020169339.1
40302	NW_020169734.1
40302	NW_020169736.1
40302	NW_020169735.1
40302	NW_020169741.1
40302	NW_020169742.1
40302	NW_020169743.1
40302	NW_020169340.1
40302	NW_020169744.1
40302	NW_020169747.1
40302	NW_020169749.1
40302	NW_020169752.1
40302	NW_020169341.1
40302	NW_020169754.1
40302	NW_020169759.1
40302	NW_020169760.1
40302	NW_020169761.1
40302	NW_020169763.1
40302	NW_020169764.1
40302	NW_020169342.1
40302	NW_020169767.1
40302	NW_020169770.1
40302	NW_020169777.1
40302	NW_020169343.1
40302	NW_020169774.1
40302	NW_020169776.1
40302	NW_020169775.1
40302	NW_020169779.1
40302	NW_020169780.1
40302	NW_020169782.1
40302	NW_020169783.1
40302	NW_020169344.1
40302	NW_020169786.1
40302	NW_020169789.1
40302	NW_020169345.1
40302	NW_020169300.1
40302	NW_020169791.1
40302	NW_020169792.1
40302	NW_020169793.1
40302	NW_020169794.1
40302	NW_020169346.1
40302	NW_020169798.1
40302	NW_020169799.1
40302	NW_020169800.1
40302	NW_020169801.1
40302	NW_020169347.1
40302	NW_020169805.1
40302	NW_020169806.1
40302	NW_020169348.1
40302	NW_020169807.1
40302	NW_020169349.1
40302	NW_020169808.1
40302	NW_020169809.1
40302	NW_020169350.1
40302	NW_020169810.1
40302	NW_020169351.1
40302	NW_020169352.1
40302	NW_020169813.1
40302	NW_020169353.1
40302	NW_020169354.1
40302	NW_020169815.1
40302	NW_020169355.1
40302	NW_020169301.1
40302	NW_020169816.1
40302	NW_020169356.1
40302	NW_020169357.1
40302	NW_020169358.1
40302	NW_020169359.1
40302	NW_020169360.1
40302	NW_020169824.1
40302	NW_020169361.1
40302	NW_020169825.1
40302	NW_020169362.1
40302	NW_020169827.1
40302	NW_020169363.1
40302	NW_020169364.1
40302	NW_020169830.1
40302	NW_020169831.1
40302	NW_020169365.1
40302	NW_020169302.1
40302	NW_020169366.1
40302	NW_020169367.1
40302	NW_020169368.1
40302	NW_020169369.1
40302	NW_020169371.1
40302	NW_020169370.1
40302	NW_020169372.1
40302	NW_020169373.1
40302	NW_020169374.1
40302	NW_020169375.1
40302	NW_020169303.1
40302	NW_020169376.1
40302	NW_020169377.1
